Codigo Estación	Tipo Estación	Nombre Estación	Nombre de la Corriente Hídrica	Areade la Cuenca (Km2)	Perímetro (Km)	Pendiente Media de la Cuenca (%)	Elevacion Media de la Cuenca (msnm)	Desnivel Cuenca (m)	Compacidad	Densidad de Drenaje (Longitud de Drenajes/km2)	Densidad de Corrientes (Num de Drenajes/km2)	Deficit de agua en el suelo basada en Penman Anual	Pendiente media del cauce (m/m)	Longitud del cauce (m)	Desnivel del cauce (m)	Bosque Km2
26157080	LG	CHUPADEROS	CHINCHINA	148,492	59,1097	43,627824	3128,225402	2242	1,358204791	1,373049747	0,471405867	112,574886	0,088846556	19212,9	1707	37,94198
26157100	LM	SAN GABRIEL	GUACAICA	303,715	90,9378	44,458724	2523,979494	2749	1,461064383	1,542053672	0,698022817	53,760661	0,057516889	38545,2	2217	100,7654
26167010	LG	PTE LAS JUNTAS	TAPIAS	190,811	90,8651	43,125668	1894,921244	3028	1,841846514	1,376750848	0,592209045	57,514445	0,052752519	44737,2	2360	48,09691
26167090	LG	COSTA AZUL	CHAMBERI	208,147	69,0128	45,250248	2557,180147	2379	1,339376274	1,659617078	0,903207829	59,566241	0,069221903	29239,3	2024	36,48426
26177010	LM	PTE CARRETERA	SUPIA	148,202	64,2381	40,796996	2031,360575	2109	1,477487061	1,360164971	0,533056234	54,57675	0,066583349	18803,5	1252	18,20255
26187030	LG	SONSON	SONSON	53,6792	34,1316	26,184234	2628,923925	998	1,304402617	1,227865505	0,484358932	175,471944	0,038326717	8401,45	322	10,6545
26187040	LG	QUITASUENO	ARMA	1086,32	202,926	43,018218	2294,895411	3224	1,72391893	1,393493737	0,796266294	88,082746	0,031861407	83894,6	2673	289,0826
26187170	LG	HERENCIA LA	ARMA	346,556	101,5	40,52516	2902,667826	1902	1,526642549	1,624895469	1,084961738	81,585294	0,035395913	37433,7	1325	177,4825
26197010	LG	CAMPAMENTO	SAN JUAN	466,367	113,038	49,432581	2256,915075	2611	1,465610575	1,390687437	0,655063501	57,903776	0,055906966	28583,2	1598	195,379
26197020	LG	BRASILIA	BOLIVAR	223,912	73,4473	53,095349	1686,350358	2817	1,37434315	0,747196854	0,267962414	90,77951	0,046503043	22213,6	1033	42,10894
